date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:46:07	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Aug%202024%2007:46:06%20GMT	https://demo.awaikenthemes.com/robots.txt		(from )
08:46:07	47010/47010	---M--	200	added ('OK')	text/html	date:Fri,%2026%20Apr%202024%2001:54:32%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/	/Users/pygod/websites/hospital/demo.awaikenthemes.com/html-preview/medipro/index.html	(from )
08:46:08	2923/2923	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Jan%202024%2021:25:24%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/images/favicon.png	/Users/pygod/websites/hospital/demo.awaikenthemes.com/html-preview/medipro/images/favicon.png	(from https://demo.awaikenthemes.com/html-preview/medipro/)
08:46:09	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Aug%202024%2007:46:09%20GMT	https://fonts.gstatic.com/	/Users/pygod/websites/hospital/fonts.gstatic.com/index.html	(from https://demo.awaikenthemes.com/html-preview/medipro/)
08:46:09	3059/3059	---MC-	200	added ('OK')	text/css	date:Mon,%2026%20Aug%202024%2007:46:09%20GMT	https://fonts.googleapis.com/css2?family=Figtree:ital,wght@0,300..900;1,300..900&display=swap	/Users/pygod/websites/hospital/fonts.googleapis.com/css26656.css	(from https://demo.awaikenthemes.com/html-preview/medipro/)
08:46:09	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Aug%202024%2007:46:09%20GMT	https://fonts.googleapis.com/	/Users/pygod/websites/hospital/fonts.googleapis.com/index.html	(from https://demo.awaikenthemes.com/html-preview/medipro/)
08:46:11	232803/232803	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Feb%202024%2003:34:44%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/css/bootstrap.min.css	/Users/pygod/websites/hospital/demo.awaikenthemes.com/html-preview/medipro/css/bootstrap.min.css	(from https://demo.awaikenthemes.com/html-preview/medipro/)
08:46:11	2505/2505	---M--	200	added ('OK')	text/css	date:Tue,%2027%20Sep%202016%2006:18:44%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/css/slicknav.min.css	/Users/pygod/websites/hospital/demo.awaikenthemes.com/html-preview/medipro/css/slicknav.min.css	(from https://demo.awaikenthemes.com/html-preview/medipro/)
08:46:11	18441/18441	---M--	200	added ('OK')	text/css	date:Tue,%2018%20Jul%202023%2022:23:10%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/css/swiper-bundle.min.css	/Users/pygod/websites/hospital/demo.awaikenthemes.com/html-preview/medipro/css/swiper-bundle.min.css	(from https://demo.awaikenthemes.com/html-preview/medipro/)
08:46:13	140292/140292	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Aug%202023%2000:27:00%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/css/all.css	/Users/pygod/websites/hospital/demo.awaikenthemes.com/html-preview/medipro/css/all.css	(from https://demo.awaikenthemes.com/html-preview/medipro/)
